U+1100+U+1160+U+11A8	국가
U+1109+U+1160+U+11BC	세상
U+1109+U+1160+U+11C1	싶은 
U+1109+U+1189	수사
U+1109+U+1189+U+11BC	수상
U+1109+U+D7BC	소스
U+1109+U+1198	세요
U+1109+U+119E	사는 
U+1109+U+11A2	서는 
U+112D+U+1160+U+11A8	생각
U+112D+U+1160+U+11AB	시간
U+112D+U+1160+U+11AD	공산
U+112D+U+1160+U+11AF	기술
U+112D+U+1160+U+11B0	삼국
U+112D+U+1160+U+11B7	관심
U+112D+U+1160+U+11B8	쉽게 
U+112D+U+1160+U+11B9	 수가 없
U+112D+U+1160+U+11BA	 수가 있
U+112D+U+1160+U+11BC	성격
U+112D+U+1161	기사
U+112D+U+1161+U+11AB	사건
U+112D+U+1161+U+11AF	색깔
U+112D+U+1161+U+11B7	감사
U+112D+U+1161+U+11BC	상관
U+112D+U+1162	새끼
U+112D+U+1162+U+11A8	시각
U+112D+U+1162+U+11AB	개선
U+112D+U+1162+U+11BC	기상
U+112D+U+1165	고서 
U+112D+U+1165+U+11A8	구석
U+112D+U+1165+U+11AB	선거
U+112D+U+1165+U+11AF	건설
U+112D+U+1165+U+11B7	검사
U+112D+U+1165+U+11BC	성경
U+112D+U+1166	세계
U+112D+U+1166+U+11A8	세계적
U+112D+U+1166+U+11B7	세금
U+112D+U+1167+U+11AF	결심
U+112D+U+1167+U+11BC	경상
U+112D+U+117E	연구소
U+112D+U+1168	시계
U+112D+U+1168+U+11AB	계산
U+112D+U+1169	사고
U+112D+U+1169+U+11A8	계속
U+112D+U+1169+U+11AB	손가락
U+112D+U+1169+U+11AF	시골
U+112D+U+1169+U+11B7	소금
U+112D+U+1169+U+11BC	성공
U+112D+U+116A	사과
U+112D+U+116A+U+11BC	공사
U+112D+U+116B	소개
U+112D+U+116B+U+11BC	고생
U+112D+U+116C+U+11A8	공식
U+112D+U+116C+U+11AB	신고
U+112D+U+116D	교사
U+112D+U+116D+U+11BC	개성
U+112D+U+116E	교수
U+112D+U+116E+U+11A8	구속
U+112D+U+116E+U+11AB	순간
U+112D+U+116E+U+11BC	구성
U+112D+U+1189	가수
U+112D+U+1189+U+11AB	군사
U+112D+U+116F	서구
U+112D+U+1171	세기
U+112D+U+1172	수고
U+112D+U+1173	쓰레기
U+112D+U+1173+U+11AF	글쎄
U+112D+U+1173+U+11B7	가슴
U+112D+U+1173+U+11B8	습관
U+112D+U+1175	시기
U+112D+U+1175+U+11A8	식구
U+112D+U+1175+U+11AB	신경
U+112D+U+1175+U+11B7	심각
U+112D+U+D7BF	에게서 
U+112D+U+119E	가스
U+112E+U+1160+U+11AB	아나운서
U+112E+U+1160+U+11AF	날씨
U+112E+U+1160+U+11B7	선생님
U+112E+U+1160+U+11B9	 수는 없
U+112E+U+1160+U+11BA	 수는 있
U+112E+U+1160+U+11BC	가능성
U+112E+U+1161	사내
U+112E+U+1162	낚시
U+112E+U+1162+U+11B7	냄새
U+112E+U+1167	소녀
U+112E+U+1167+U+11AB	소년
U+112E+U+1169+U+11AB	손님
U+112E+U+1169+U+11BC	농사
U+112E+U+1172	뉴스
U+112E+U+1173	쓰는 
U+112E+U+1174	시는 
U+112E+U+1175	시내
U+112E+U+1175+U+11AF	실내
U+112F+U+1160	? 
U+112F+U+1160+U+11A8	세력
U+112F+U+1160+U+11AB	신라
U+112F+U+1160+U+11B8	스럽
U+112F+U+1160+U+11BC	사랑
U+112F+U+1161	사라
U+112F+U+1162	새로 
U+112F+U+1162+U+11AB	새로운 
U+112F+U+1165	로써 
U+112F+U+1165+U+11BC	성령
U+112F+U+1167+U+11AB	소련
U+112F+U+1168	사례
U+112F+U+1169	로서 
U+112F+U+116E	수록 
U+112F+U+116F	서로 
U+112F+U+1171	수리
U+112F+U+1173	스스로
U+112F+U+1173+U+11BC	승리
U+112F+U+1175	소리
U+112F+U+1175+U+11A8	식량
U+112F+U+1175+U+11B7	심리
U+112F+U+11A2	스러
U+112F+U+11A2+U+11AB	스러운 
U+1131+U+1160+U+11A8	목소리
U+1131+U+1160+U+11AB	무슨 
U+1131+U+1160+U+11AC	선물
U+1131+U+1160+U+11AF	말씀
U+1131+U+1160+U+11B0	목숨
U+1131+U+1160+U+11B8	모습
U+1131+U+1160+U+11BA	 수만 있
U+1131+U+1160+U+11BC	생명
U+1131+U+1161	사무
U+1131+U+1161+U+11AF	사물
U+1131+U+1162+U+11BC	생물
U+1131+U+1165+U+11AF	설명
U+1131+U+1167+U+11AB	면서 
U+1131+U+1169	소문
U+1131+U+1169+U+11A8	물속
U+1131+U+1169+U+11B8	몹시 
U+1131+U+116C	미소
U+1131+U+116E	무시
U+1131+U+116E+U+11AF	미술
U+1131+U+1189	무사
U+1131+U+1175	시민
U+1131+U+1175+U+11A8	식물
U+1131+U+1175+U+11AB	신문
U+1131+U+1175+U+11BA	머릿속
U+1132+U+1160+U+11A8	학생
U+1132+U+1160+U+11A9	형식
U+1132+U+1160+U+11AB	현상
U+1132+U+1160+U+11AC	할 수는 
U+1132+U+1160+U+11AF	훨씬 
U+1132+U+1160+U+11B0	확실
U+1132+U+1160+U+11B1	실험
U+1132+U+1160+U+11B7	시험
U+1132+U+1160+U+11BA	하셨
U+1132+U+1160+U+11BC	생활
U+1132+U+1161	사회
U+1132+U+1161+U+11A8	사회적
U+1132+U+1161+U+11AB	한숨
U+1132+U+1161+U+11AF	할 수
U+1132+U+1161+U+11BC	상당히 
U+1132+U+1162	상태
U+1132+U+1162+U+11A8	핵심
U+1132+U+1162+U+11BC	행사
U+1132+U+1165	서서히
U+1132+U+1165+U+11A8	해석
U+1132+U+1165+U+11BC	시청
U+1132+U+1166+U+11AB	센티
U+1132+U+1167+U+11AB	현실
U+1132+U+1167+U+11BC	형사
U+1132+U+1168	수혜
U+1132+U+1169	청소
U+1132+U+1169+U+11A8	혹시 
U+1132+U+116A	신화
U+1132+U+116A+U+11BC	상황
U+1132+U+116C	회사
U+1132+U+116C+U+11AB	신호
U+1132+U+116E	수행
U+1132+U+1175	단순히 
U+1132+U+1175+U+11AB	하신 
U+1132+U+1175+U+11AF	실천
U+1132+U+1198	자세히 
U+1132+U+D7C4+U+11AB	현실적
U+1132+U+D7C4+U+11BC	형성
U+110A+U+1160+U+11A8	역사
U+110A+U+1160+U+11A9	양식
U+110A+U+1160+U+11FA	인식
U+110A+U+1160+U+11AB	우선 
U+110A+U+1160+U+11AD	인생
U+110A+U+1160+U+11AF	서울
U+110A+U+1160+U+11B1	열심
U+110A+U+1160+U+11B2	입술
U+110A+U+1160+U+11B7	예수님
U+110A+U+1160+U+11B8	사업
U+110A+U+1160+U+11BC	이상
U+110A+U+1160+U+11C0	임신
U+110A+U+1160+U+11C1	산업
U+110A+U+D7B0	연습
U+110A+U+1189	수요
U+110A+U+1189+U+11AB	우산
U+110A+U+1189+U+11B7	싸움
U+110A+U+1195	우승
U+110A+U+1198	예술가
U+110A+U+1198+U+11AB	예산
U+110A+U+1198+U+11BC	예상
U+110A+U+D7BF	에서 
U+110A+U+D7BF+U+11AF	세월
U+110A+U+119E	의사
U+1136+U+1160+U+11A8	시작
U+1136+U+1160+U+11A9	성적
U+1136+U+1160+U+11AB	자신
U+1136+U+1160+U+11AC	진실
U+1136+U+1160+U+11AD	정신
U+1136+U+1160+U+11AF	솔직
U+1136+U+1160+U+11B0	살짝 
U+1136+U+1160+U+11B4	심장
U+1136+U+1160+U+11B7	중심
U+1136+U+1160+U+11BC	시장
U+1136+U+1161	자식
U+1136+U+1161+U+11AD	선장
U+1136+U+1161+U+11B7	잠시
U+1136+U+1161+U+11BC	사장
U+1136+U+1162	재산
U+1136+U+1162+U+11A8	책상
U+1136+U+1162+U+11AF	화장실
U+1136+U+1162+U+11B7	참새
U+1136+U+1162+U+11BC	지상
U+1136+U+1165	아저씨
U+1136+U+1165+U+11A8	참석
U+1136+U+1165+U+11AB	조선
U+1136+U+1165+U+11AF	질서
U+1136+U+1165+U+11B7	시점
U+1136+U+1165+U+11BC	성장
U+1136+U+1166	자세
U+1136+U+1169	조사
U+1136+U+1169+U+11A8	지속
U+1136+U+1169+U+11BC	장소
U+1136+U+116A+U+11BC	조상
U+1136+U+116B	소재
U+1136+U+116C+U+11AB	최소한
U+1136+U+116C+U+11B7	조심
U+1136+U+116D+U+11AB	사전
U+1136+U+116D+U+11BC	사정
U+1136+U+116E	수준
U+1136+U+116E+U+11A8	주식
U+1136+U+116E+U+11AF	수출
U+1136+U+116E+U+11BC	소중
U+1136+U+1189	숫자
U+1136+U+116F	선진국
U+1136+U+116F+U+11A8	서쪽
U+1136+U+1170	중세
U+1136+U+1170+U+11A8	숙제
U+1136+U+1171	제시
U+1136+U+1171+U+11A8	주식
U+1136+U+1171+U+11BC	성취
U+1136+U+1172	소주
U+1136+U+1174	시리즈
U+1136+U+1175	지시
U+1136+U+1175+U+11A8	지식
U+1136+U+1175+U+11AB	사진
U+1136+U+1175+U+11AD	신청
U+1136+U+1175+U+11AF	실제
U+1136+U+1175+U+11B7	점심
U+1136+U+1175+U+11BC	실정
U+110B+U+1160+U+11A8	음악
U+110B+U+1160+U+11AB	어떤 
U+110B+U+1160+U+11AC	인물
U+110B+U+1160+U+11AD	지 않
U+110B+U+1160+U+11AF	일어
U+110B+U+1160+U+11B0	움직
U+110B+U+1160+U+11B7	음식
U+110B+U+1160+U+11DD	웃음
U+110B+U+1160+U+11B8	입니다. 
U+110B+U+1160+U+11B9	없이 
U+110B+U+1160+U+11BA	이웃
U+110B+U+1160+U+11BC	여성
U+110B+U+1160+U+11BD	있을 
U+110B+U+1160+U+11C2	이렇
U+110B+U+1161+U+11FB	압력
U+110B+U+117E	영국
U+110B+U+117E+U+11AB	우연
U+110B+U+D7B0	으며 
U+110B+U+D7B0+U+11AB	으면 
U+110B+U+1189	아무
U+110B+U+1189+U+11AF	아울러
U+110B+U+1189+U+11BA	아무것
U+110B+U+D7BB	은혜
U+110B+U+D7BC	예의
U+110B+U+1195	의문
U+110B+U+1175+U+11FA	인력
U+110B+U+1198	에요. 
U+110B+U+D7BF	예요. 
U+110B+U+D7BF+U+11AB	언제나 
U+110B+U+D7C0	예외
U+110B+U+D7C4	영어
U+110B+U+D7C4+U+11AB	영원
U+110B+U+D7C4+U+11BC	영양
U+110B+U+119E	아들
U+110B+U+119E+U+11AB	아는 
U+110B+U+119E+U+11BC	않은 
U+110B+U+11A2	의원
U+A976+U+1160+U+11A8	어리석
U+A976+U+1160+U+11AB	이론
U+A976+U+1160+U+11AF	알려
U+A976+U+1160+U+11B7	이름
U+A976+U+1160+U+11B8	유럽
U+A976+U+1161	아라
U+A976+U+1161+U+11A8	연락
U+A976+U+1161+U+11AB	이란
U+A976+U+1162	아래
U+A976+U+1162+U+11AB	원래
U+A976+U+1165	러운 
U+A976+U+1165+U+11AB	언론
U+A976+U+1165+U+11AF	리얼
U+A976+U+1167	려운 
U+A976+U+1167+U+11AB	여론
U+A976+U+1169	오래
U+A976+U+1169+U+11AF	올라
U+A976+U+D7B0	으려
U+A976+U+116C	라디오
U+A976+U+116D	러시아
U+A976+U+116E	우리
U+A976+U+116E+U+11A8	이룩
U+A976+U+116E+U+11AB	로운 
U+A976+U+116F+U+11AB	원리
U+A976+U+1172	인류
U+A976+U+1173	으로 
U+A976+U+1173+U+11AB	얼른 
U+A976+U+1173+U+11B7	음료
U+A976+U+1175	이래
U+A976+U+1175+U+11AB	어린 
U+A976+U+D7C0	유리
U+A976+U+D7C4+U+11B7	어려움
U+A976+U+119E	아름
U+A976+U+11A2	어른
U+114A+U+1160+U+11A8	역할
U+114A+U+1160+U+11FA	확인
U+114A+U+1160+U+11AB	차원
U+114A+U+1160+U+11AF	올해
U+114A+U+1160+U+11B7	책임
U+114A+U+1160+U+11B8	연합
U+114A+U+1160+U+11BA	하였
U+114A+U+1160+U+11BC	영화
U+114A+U+1161	아파트
U+114A+U+1161+U+11A8	유학
U+114A+U+1161+U+11AB	또한 
U+114A+U+1161+U+11B7	참여
U+114A+U+1162	차이
U+114A+U+1162+U+11AB	한때
U+114A+U+1162+U+11BC	행위
U+114A+U+1165+U+11B7	위험
U+114A+U+1165+U+11BC	엄청 
U+114A+U+1166	업체
U+114A+U+1167	하여 
U+114A+U+1167+U+11AB	편안
U+114A+U+1167+U+11B8	위협
U+114A+U+1167+U+11BC	영향
U+114A+U+1169	오히려 
U+114A+U+1169+U+11A8	혹은 
U+114A+U+1169+U+11BC	통일
U+114A+U+116A+U+11AB	완전히 
U+114A+U+116B	해외
U+114A+U+116C	회의
U+114A+U+116C+U+11AB	회원
U+114A+U+116D+U+11BC	조용히 
U+114A+U+116E	이후
U+114A+U+116F+U+11AB	원한
U+114A+U+1170	체육
U+114A+U+1170+U+11A8	육체
U+114A+U+1171	위치
U+114A+U+1171+U+11AB	위원회
U+114A+U+1172	오후
U+114A+U+1173+U+11AB	은행
U+114A+U+1173+U+11AF	이틀
U+114A+U+1175	이해
U+114A+U+1175+U+11AF	일치
U+114A+U+1175+U+11B8	입학
U+114A+U+1198	카메라
U+114A+U+D7BF	헤어
U+114A+U+D7C4	여전히
U+114A+U+119E	의학
U+114C+U+1160+U+11AB	오는 
U+114C+U+1160+U+11AD	안녕
U+114C+U+1160+U+11AF	얼마나 
U+114C+U+1160+U+11B3	옛날
U+114C+U+1160+U+11B7	넘어
U+114C+U+1160+U+11B9	없는 
U+114C+U+1160+U+11BA	있는 
U+114C+U+1160+U+11BC	내용
U+114C+U+1161	아니
U+114C+U+1161+U+11AF	이날
U+114C+U+1162	아내
U+114C+U+1165	어머니
U+114C+U+1165+U+11AB	언니
U+114C+U+1165+U+11B9	없애는 
U+114C+U+1167	이념
U+114C+U+1169	오늘
U+114C+U+1169+U+11AB	논의
U+114C+U+1169+U+11BC	농업
U+114C+U+116A	오늘날
U+114C+U+116E	우는 
U+114C+U+1189	눈앞
U+114C+U+1173	이는 
U+114C+U+1173+U+11AF	늘어
U+114C+U+D7BC	높은 
U+114C+U+1174	으니
U+114C+U+1175	니까
U+114C+U+1175+U+11AB	노인
U+114C+U+1175+U+11AF	내일
U+114C+U+1175+U+11B7	느낌
U+114C+U+119E	어느새 
U+114C+U+11A2	어느 
U+110C+U+1160+U+11A8	조직
U+110C+U+1160+U+11A9	직장
U+110C+U+1160+U+11FA	적인 
U+110C+U+1160+U+11FB	직접 
U+110C+U+1160+U+11AB	존재
U+110C+U+1160+U+11AC	진출
U+110C+U+1160+U+11AD	전쟁
U+110C+U+1160+U+11AF	시절
U+110C+U+1160+U+11B0	적절
U+110C+U+1160+U+11B5	집중
U+110C+U+1160+U+11B7	조금
U+110C+U+1160+U+11B8	잡지
U+110C+U+1160+U+11BA	저것
U+110C+U+1160+U+11BC	정도
U+110C+U+1160+U+11C2	좋아
U+110C+U+1165+U+11FB	직접적
U+110C+U+1169+U+11FB	접촉
U+110C+U+1189	자주 
U+110C+U+1189+U+11AB	전문가
U+110C+U+1189+U+11AF	자율
U+110C+U+1189+U+11BC	주장
U+110C+U+D7BC	좋은 
U+110C+U+1195	주는 
U+110C+U+1198	자체
U+110C+U+1198+U+11A8	제작
U+110C+U+D7BF	전체
U+110C+U+D7BF+U+11A8	전체적
U+110C+U+D7C0	지혜
U+110C+U+D7C4	어쩌면 
U+110C+U+119E	작은 
U+110D+U+1160+U+11A8	지역
U+110D+U+1160+U+11A9	작용
U+110D+U+1160+U+11FA	직원
U+110D+U+1160+U+11FB	직업
U+110D+U+1160+U+11AB	자연
U+110D+U+1160+U+11AC	출연
U+110D+U+1160+U+11AD	인정
U+110D+U+1160+U+11AF	일정
U+110D+U+1160+U+11B0	죽음
U+110D+U+1160+U+11B1	젊은
U+110D+U+1160+U+11B2	졸업
U+110D+U+1160+U+11B5	입장
U+110D+U+1160+U+11B7	아침
U+110D+U+1160+U+11B8	작업
U+110D+U+1160+U+11BC	중요
U+110D+U+1160+U+11BD	찾아
U+110D+U+1160+U+11C1	집안
U+110D+U+1169+U+11FA	왼쪽
U+110D+U+1189	아주 
U+110D+U+1189+U+11AB	자원
U+110D+U+1189+U+11AD	위원장
U+110D+U+1189+U+11BC	중앙
U+110D+U+1195	주의
U+110D+U+1198+U+11AB	언젠가 
U+110D+U+D7BF	어제
U+110D+U+D7BF+U+11AB	언제
U+110D+U+D7BF+U+11BC	예정
U+110D+U+D7C4	여전
U+110D+U+119E	의자
U+110D+U+119E+U+11AF	짧은 
U+110D+U+119E+U+11B7	요즘
U+110D+U+11A2	정의
U+110E+U+1160+U+11A8	정책
U+110E+U+1160+U+11A9	정확
U+110E+U+1160+U+11AB	하지만 
U+110E+U+1160+U+11AC	출신
U+110E+U+1160+U+11AD	현장
U+110E+U+1160+U+11AF	지하철
U+110E+U+1160+U+11B0	철학
U+110E+U+1160+U+11B5	종합
U+110E+U+1160+U+11B7	처음
U+110E+U+1160+U+11B8	조합
U+110E+U+1160+U+11BC	정치
U+110E+U+1160+U+11C0	한참
U+110E+U+1189+U+11AF	출산
U+110E+U+1198	화제
U+110E+U+1198+U+11AB	제한
U+110E+U+D7BE	형제
U+110E+U+D7BF	체험
U+110E+U+D7C4	전혀 
U+110E+U+11A2	저희
U+110F+U+1160+U+11A8	개혁
U+110F+U+1160+U+11AB	환경
U+110F+U+1160+U+11AC	결혼
U+110F+U+1160+U+11AD	균형
U+110F+U+1160+U+11AF	결코 
U+110F+U+1160+U+11B7	컴퓨터
U+110F+U+1160+U+11BA	하겠
U+110F+U+1160+U+11BC	고향
U+110F+U+D7B0	경향
U+110F+U+D7BB	크게 
U+110F+U+1198	한계
U+110F+U+119E	한글
U+1110+U+1160+U+11A8	특히 
U+1110+U+1160+U+11A9	특정
U+1110+U+1160+U+11FA	대한민국
U+1110+U+1160+U+11AB	대한
U+1110+U+1160+U+11AD	통신
U+1110+U+1160+U+11AF	활동
U+1110+U+1160+U+11B5	통합
U+1110+U+1160+U+11B7	회담
U+1110+U+1160+U+11B9	틀림없
U+1110+U+1160+U+11BC	행동
U+1110+U+1189+U+11AB	한두 
U+1110+U+1198	한테 
U+1111+U+1160+U+11A9	행복
U+1111+U+1160+U+11FA	한복
U+1111+U+1160+U+11AB	북한
U+1111+U+1160+U+11AC	불편
U+1111+U+1160+U+11AD	형편
U+1111+U+1160+U+11AF	필요
U+1111+U+1160+U+11B7	포함
U+1111+U+1160+U+11BC	표정
U+1111+U+1189+U+11AB	후반
U+1111+U+1189+U+11AF	발휘
U+1111+U+D7C4	표현
U+1157+U+1160+U+11A8	작년
U+1157+U+1160+U+11AB	는지 
U+1157+U+1160+U+11B7	주님
U+1157+U+1160+U+11BC	나중
U+1157+U+1161+U+11AB	지난 
U+1157+U+1162	내지 
U+1157+U+1162+U+11AB	지난해
U+1157+U+1162+U+11AF	지난달
U+1157+U+1165	저녁
U+1157+U+1166	에너지
U+1157+U+1167	자녀
U+1157+U+1169+U+11A8	남쪽
U+1157+U+1173+U+11AB	지는 
U+1157+U+1175	지나
U+1157+U+1198	자네
U+1112+U+1160+U+11A8	학교
U+1112+U+1160+U+11FB	협력
U+1112+U+1160+U+11AB	한국
U+1112+U+1160+U+11AD	한강
U+1112+U+1160+U+11AF	할머니
U+1112+U+1160+U+11B7	함께 
U+1112+U+1160+U+11B8	합니다. 
U+1112+U+1160+U+11BC	항상 
U+1112+U+1160+U+11C2	하얗
U+1112+U+1198	하게 
U+1112+U+D7C4+U+11AB	현저
U+F8BC+U+1160+U+11A8	문학
U+F8BC+U+1160+U+11B7	만큼 
U+F8BC+U+1160+U+11BC	희망
U+F8BC+U+1161+U+11AB	가만히 
U+F8BC+U+1162	치마
U+F8BC+U+1166	매체
U+F8BC+U+1167+U+11AB	화면
U+F8BC+U+116A	만화
U+F8BC+U+116E+U+11AB	흥미로운 
U+F8BC+U+1189+U+11AB	문화재
U+F8BC+U+1170	물체
U+F8BC+U+1173+U+11A8	측면
U+F8BC+U+1173+U+11B7	그만큼
U+F8BC+U+1173+U+11BC	흥미
U+F8BC+U+1175	미터
U+F8BC+U+1175+U+11B7	침묵
U+F8BC+U+1198	카메라
U+1159+U+1160+U+11A8	학년
U+1159+U+1160+U+11AB	키는 
U+1159+U+1160+U+11AF	하늘
U+1159+U+1160+U+11B7	하나님
U+1159+U+1161	하나
U+1159+U+1161+U+11AB	남한
U+1159+U+1165+U+11BC	청소년
U+1159+U+1166	하는데
U+1159+U+1167+U+11BC	형님
U+1159+U+1169+U+11AB	농촌
U+1159+U+116B	왜냐하면 
U+1159+U+1173	하는 
U+1159+U+1173+U+11AB	치는 
U+1159+U+D7C4	청년
U+1159+U+119E	찾는 
U+1159+U+11A2	너희
